Объем,Бренд,Цена со скидкой,Цена,Тип вина,Цвет,Сахар,Страна производителя,Регион,Аппелласьон,Производитель,Категория,Бренд / Серия,Сорт винограда,Выдержка в ёмкости,Содержание алкоголя,Количество в упаковке,Температура подачи,Friendly,BiO,Винтаж,Субрегион,Выдержка,Подарочная упаковка 0.75,Chateau Pinot,580₽,725₽,Тихое,Красное,Сухое,Россия,Краснодарский край,Кубань. Новороссийск ЗГУ,Chateau Pinot,ЗГУ,Chateau PinotГравитация,Пино нуарСаперави,Стальной чан,13%,6,16-18 
0.75,Kautz Vineyards,2 567₽,2 567₽,Тихое,Красное,Сухое,США,Калифорния,California,Kautz Vineyards,,,Зинфандель,,14.5%,12,16-18,,,2021,,,
0.75,Isole e Olena,11 061₽,11 061₽,Тихое,Белое,Сухое,Италия,Тоскана,Toscana IGT,Isole e Olena,IGT/IGP,,Шардоне,Бочка,14%,6,10-12,,,,,,
0.75,Bulgarini,3 668₽,3 668₽,Тихое,Розовое,Полусухое,Италия,Ломбардия,Riviera del Garda Classico DOC,Bulgarini,DOC/DOP,,ГроппеллоСанджовезеМарцеминоБарбера,Стальной чан,12.5%,6,10-12,,,,,,
0.75,Cannis,1 417₽,2 024₽,Тихое,Белое,Полусухое,Германия,Пфальц,Pfalz QbA,Cannis,QbA,,Гевюрцтраминер,,11.5%,6,10-12,,,2021,,,
0.75,,878₽,1 596₽,Тихое,Белое,Сухое,Россия,Крым,,Сатера,,Esse,Рислинг,Стальной чан,12%,6,10-12,,,2022,,,
0.75,Western Cellars,1 582₽,1 582₽,Тихое,Белое,Сухое,США,Калифорния,Lodi AVA,Western Cellars,AVA,,Шардоне,,13.5%,6,8-10,,,2021,Северное побережье,,
0.75,Allegrini,3 801₽,3 801₽,Тихое,Красное,Сухое,Италия,Венето,Valpolicella DOC,Allegrini,DOC/DOP,,Корвина веронезеРондинелла,,13%,6,14-16,Sustainable,,2022,Вальполичелла,,
0.75,Golubitskoe Estate,1 032₽,1 290₽,Тихое,Красное,Сухое,Россия,Кубань,Кубань. Таманский полуостров ЗГУ,Golubitskoe Estate,ЗГУ,,Каберне совиньон,Бочка,13.00% - 14%,6,16-18,,,,Кубань,,
0.75,Tenimenti Angelini,1 972₽,2 465₽,Тихое,Красное,Сухое,Италия,Тоскана,Chianti Classico DOCG,Tenimenti Angelini,DOC/DOP,,Санджовезе,Бочка,13.5% - 14%,6,16-18,,,,Кьянти,,
0.75,,2 856₽,2 856₽,Тихое,Красное,Сухое,Австрия,Бургенланд,Burgenland,Norbert Schmeltzer,,,Цвайгельт,Стальной чан,13.5%,6,16-18,Sustainable,,2022,,,
0.75,,33 000₽,33 000₽,Тихое,Красное,Сухое,Франция,Бордо,Saint-Julien AOС,Chateau Gruaud Larose,AOC/AOP,,Каберне совиньонМерлоКаберне франПти вердо,Бочка,14.5%,6,16-18,,Biodynamic,2018,Сен-Жюльен,,
0.75,Jean-Paul & Benoît Droin,25 411₽,25 411₽,Тихое,Белое,Сухое,Франция,Бургундия,Chablis Grand Cru AOС,Jean-Paul & Benoît Droin,AOC/AOP,,Шардоне,,13%,12,10-12,,,2022,Шабли,,
0.75,Gaja,36 521₽,36 521₽,Тихое,Красное,Сухое,Италия,Тоскана,Brunello di Montalcino DOCG,Gaja,,,Санджовезе,Бочка,15%,,16-18,,,2020,,,
0.75,Misty Cove,994₽,1 242₽,Тихое,Белое,Сухое,Новая Зеландия,,,Misty Cove,,,Совиньон блан,Стальной чан,10.50% - 15%,6,8-10,,,,,,
0.75,Bellene,17 347₽,17 347₽,Тихое,Красное,Сухое,Франция,Бургундия,Nuits-Saint-Georges AOС,Bellene,AOC/AOP,Domaine de Bellene,Пино нуар,Бочка,12.5%,6,14-16,Sustainable,Biodynamic,2015,Нюи-Сен-Жорж,,
0.75,Chateau Vieux Robin,4 098₽,4 098₽,Тихое,Красное,Сухое,Франция,Бордо,Medoc AOC,Chateau Vieux Robin,AOC/AOP,Chateau Vieux Robin,Каберне совиньонМерлоПти вердо,Бочка,14%,6,16-18,,,,Медок,,
0.75,Галицкий и Галицкий,3 490₽,3 490₽,Тихое,Белое,Сухое,Россия,Краснодарский край,Кубань ЗГУ,Галицкий и Галицкий,ЗГУ,,Совиньон блан,Стальной чан,12%,6,10-12,,,,Кубань,,
0.75,Charles Smith Wines,6 505₽,6 505₽,Тихое,Красное,Сухое,США,Вашингтон,,Charles Smith Wines,,,Каберне совиньон,Бочка,14%,12,14-16,Sustainable,Natural/raw,2021,,,
0.75,Venica & Venica,7 514₽,7 514₽,Тихое,Белое,Сухое,Италия,Фриули-Венеция-Джулия,Collio DOC,Venica & Venica,DOC/DOP,,Пино бьянко,Бочка,13.5%,6,10-12,,,2020,Коллио,,
0.75,,1 639₽,1 639₽,Тихое,Красное,Сухое,Италия,Абруццо,Montepulciano d'Abruzzo DOC,Villa Degli Olmi,DOC,Gatto Matto,Монтепульчано,,12%,6,16-18,,,2022,,,
0.75,Attis,2 380₽,2 975₽,Тихое,Белое,Полусухое,Испания,Галисия,Rias Baixas DO,Attis,DO,XionAttis,Альбариньо,Стальной чан,12.5%,,8-10,,,,Риас Байшас,,
0.75,Khvanchkara Winery,966₽,1 208₽,Тихое,Белое,Сухое,Грузия,Кахетия,,Khvanchkara Winery,,,РкацителиМцване,Стальной чан,13%,6,10-12,,,,,,
0.75,,638₽,798₽,Тихое,Белое,Сухое,Россия,Краснодарский край,Кубань. Новороссийск ЗГУ,Мысхако,ЗГУ,МысхакоQuintessence,Вионье,Стальной чан,11% - 14%,6,10-12,,,,Кубань,,
0.75,Olymp Winery,539₽,539₽,,Белое,Сухое,Россия,,,Olymp Winery,,,Кокур,,10% - 12%,6,8-10,,,,,,
0.75,Pascal Prunier-Bonheur,16 410₽,16 410₽,Тихое,Красное,Сухое,Франция,Бургундия,Beaune 1er Cru AOC,Pascal Prunier-Bonheur,AOC/AOP,,Пино нуар,Бочка,13.5%,12,14-16,,,2017,Бон,,
0.75,Overhex Wines International,590₽,738₽,Тихое,Красное,Сухое,ЮАР,Западный Кейп,Stellenbosch WO,Overhex Wines International,WO,Stellenbosch Hills,Каберне совиньон,Бочка,14%,6,16-18,,,,,,
0.75,,3 739₽,3 739₽,Тихое,Белое,Сухое,Италия,Трентино-Альто-Адидже,Vigneti Delle Dolomiti IGT,Cantina Tramin,IGT/IGP,,ШардонеПино бьянкоСовиньон,Стальной чан,12.5%,6,10-12,,Biodynamic,2023,,,
0.75,Южная Винная Компания,497₽,621₽,Тихое,Красное,Сухое,Россия,Краснодарский край,Кубань. Таманский полуостров ЗГУ,Южная Винная Компания,ЗГУ,Южная Винная Компания,Саперави,Бочка,13%,6,16-18,,,2018,Кубань,,
0.75,,624₽,780₽,Тихое,Белое,Сухое,Россия,Краснодарский край,Южный берег Тамани ЗНМП,,ЗНМП,,Шардоне,Бочка,11% - 13%,6,12-14,,,,Кубань,,
0.187,Fanagoria,122₽,152₽,Тихое,Белое,Полусладкое,Россия,Краснодарский край,,Fanagoria,,Номерной резерв,Белые сорта винограда,Стальной чан,13%,12,10-12,,,,,,
0.75,Vineyard Productions,1 748₽,2 185₽,Тихое,Белое,Сухое,Новая Зеландия,Мальборо,Marlborough,Vineyard Productions,,,Совиньон блан,Стальной чан,13%,6,8-10,,,2022,,,
0.75,Dopff & Irion,3 497₽,3 497₽,Тихое,Белое,Полусухое,Франция,Эльзас,Alsace AOC,Dopff & Irion,AOC/AOP,,Гевюрцтраминер,Стальной чан,13.5%,6,10-12,,,,,,
0.75,Дом Захарьиных,577₽,721₽,Тихое,Белое,Сухое,Россия,Крым,Крым ЗГУ,Дом Захарьиных,ЗГУ,,Алиготе,Бочка,12%,6,10-12,,,2020,,,
0.75,Familles Jegerlehner et Prataviera,1 177₽,1 471₽,Тихое,Белое,Сухое,Франция,Юго-Запад,Cotes de Gascogne IGT,Familles Jegerlehner et Prataviera,IGT/IGP,Haut Marin,КоломбарУни блан,Стальной чан,11%,6,8-10,,,,Кот де Гасконь,,
0.75,Cantina Produttori Nebbiolo di Carema,3 427₽,4 284₽,Тихое,Красное,Сухое,Италия,Пьемонт,Carema DOC,Cantina Produttori Nebbiolo di Carema,DOC/DOP,Cantina Carema,Неббиоло,Бочка,,6,16-18,,,,,,
0.75,Le Cret de Bine,5 203₽,5 203₽,Тихое,Белое,Сухое,Франция,Бургундия,Beaujolais АОС,Le Cret de Bine,AOC/AOP,,Шардоне,Бочка,12.5%,6,10-12,Sustainable,Biodynamic,2022,Божоле,,
0.75,Endrizzi,2 096₽,2 620₽,Тихое,Красное,Сухое,Италия,Трентино-Альто-Адидже,Vigneti Delle Dolomiti IGT,Endrizzi,IGT/IGP,,ТерольдегоКаберне совиньонМерло,Бочка,13.5%,6,16-18,,,,,,
0.75,Maitres Vignerons de Saint-Tropez,2 312₽,2 890₽,Тихое,Розовое,Сухое,Франция,Прованс,Cotes de Provence AOС,Maitres Vignerons de Saint-Tropez,AOC/AOP,,ГренашСенсо,Стальной чан,13.5%,6,10-12,,,,,,
0.75,,4 912₽,4 912₽,Тихое,Красное,Сухое,Испания,Каталония,Priorat DOQ,Clos Berenguer,DOQ,,ГарначаКариньянКаберне совиньон,Бочка,14.5%,12,16-18,,,2018,Приорат,,
0.75,Marchand-Tawse,18 998₽,18 998₽,Тихое,Красное,Сухое,Франция,Бургундия,Nuits-Saint-Georges AOС,Marchand-Tawse,AOC/AOP,,Пино нуар,Бочка,14%,6,14-16,,,2019,Нюи-Сен-Жорж,,
0.75,Poggio Antico,17 134₽,17 134₽,Тихое,Красное,Сухое,Италия,Тоскана,Brunello di Montalcino DOCG,Poggio Antico,DOCG,,Санджовезе,Бочка,14%,6,16-18,,,2017,Монтальчино,,
0.75,Gabriel Meffre,1 238₽,1 547₽,Тихое,Красное,Сухое,Франция,Долина Роны,Cotes du Rhone AOС,Gabriel Meffre,AOC/AOP,,ГренашСираМурведр,Стальной чан,,,16-18,,,,Кот дю Рон,,
0.75,,1 849₽,2 642₽,Тихое,Красное,Сухое,Аргентина,Мендоса,Mendoza,Puerto Ancona,,La Posta,МальбекБонардаСира,Бочка,13.5%,12,16-18,,,2022,,,
0.75,,1 393₽,1 393₽,Тихое,Красное,Полусухое,Австралия,Юго-Восточная Австралия,South Eastern Australia GI,Hardy’s,GI,Stamp,Шираз,,13.5%,6,16-18,,,2021,,,
0.75,,890₽,1 618₽,Тихое,Белое,Сухое,Россия,Крым,,Сатера,,Esse,Шардоне,Бочка,13%,6,10-12,,,,,,
0.75,,727₽,727₽,Тихое,Красное,Сухое,Россия,Краснодарский край,Южный берег Тамани ЗНМП,Кубань-Вино,ЗНМП,,Красностоп анапский,Бочка,12.5%,,16-18,,,2019,,,
0.75,,3 220₽,3 220₽,Тихое,Красное,Сухое,Испания,Кастилия и Леон,Toro DO,Bodega del Palacio de Los Frontaura y Victoria,DO,Marques de Valdelacasa,Темпранильо,Бочка,14.5%,6,16-18,,,2018,Торо,,
0.75,GWS,1 446₽,1 807₽,Тихое,Белое,Сладкое,Грузия,Кахетия,,GWS,,,Мцване,Стальной чан,12%,6,8-10,,,,,,
0.75,,2 445₽,2 445₽,Тихое,Красное,Полусухое,Италия,Апулия,Puglia IGT,Botter,IGT/IGP,,ЛамбрускоМонтепульчаноНегроамароМерлоНеро ди трояСанджовезе,Бочка,14.5%,6,16-18,,,2021,,,
0.75,Dominus Estate,15 490₽,15 490₽,Тихое,Красное,Сухое,США,Калифорния,Napa Valley AVA,Dominus Estate,AVA,,Каберне совиньонКаберне франПти вердо,Бочка,14.5%,6,16-18,,,2016,Напа,,
0.75,Olymp Winery,499₽,713₽,Тихое,Белое,Сухое,Россия,Краснодарский край,Кубань ЗГУ,Olymp Winery,ЗГУ,,Шардоне,Стальной чан,10% - 12%,6,10-12,,,,Кубань,,
0.75,Gitton Pere & Fils,3 237₽,4 046₽,Тихое,Белое,Сухое,Франция,Долина Луары,Sancerre AOC,Gitton Pere & Fils,AOC/AOP,Sancerre,Совиньон блан,Стальной чан,12.5%,,10-12,,,,Сансер,,
0.75,,52 091₽,52 091₽,Тихое,Красное,Сухое,Франция,Бордо,Saint-Estèphe AOC,Chateau Cos d'Estournel,AOC/AOP,,Каберне совиньонКаберне франМерло,Бочка,,6,16-18,,,2012,Сент-Эстеф,,
0.75,Interfin,530₽,663₽,Тихое,Розовое,Полусухое,Россия,Крым,,Interfin,,,Траминер,Стальной чан,10.00% - 12%,6,10-12,,,,,,
0.75,Quinta Das Arcas,2 796₽,2 796₽,Тихое,Белое,Сухое,Португалия,Минью,Vinho Verde DOC,Quinta Das Arcas,DOC/DOP,,Альваринью,,13%,6,8-10,,,2022,Винью Верде,,
0.75,Casadei,1 904₽,2 380₽,Тихое,Красное,Сухое,Италия,Тоскана,Toscana IGT,Casadei,IGT/IGP,CasadeiArmonia,Красные сорта виноградаМерлоСира,Бочка,,6,16-18,,,,,,
0.75,Tolaini,23 200₽,23 200₽,Тихое,Красное,Сухое,Италия,Тоскана,Toscana IGT,Tolaini,IGT/IGP,,МерлоКаберне фран,Бочка,15%,6,16-18,,Organic,2015,,,
0.75,,11 215₽,11 215₽,Тихое,Красное,Сухое,Армения,Араратская долина,,Tierras de Armenia,,Karas,СираМонтепульчаноКаберне фран,Бочка,14.5%,6,16-18,,,2018,,,
0.75,Pradio,1 603₽,2 290₽,Тихое,Белое,Сухое,Италия,Фриули-Венеция-Джулия,Friuli DOC,Pradio,DOC/DOP,Priara,Пино гриджо,Стальной чан,13%,6,8-10,,,,,,
0.75,Olymp Winery,539₽,539₽,Тихое,Белое,Полусладкое,Россия,Краснодарский край,,Olymp Winery,,,Мускат,,10% - 12%,6,8-10,,,,,,
0.75,Interfin,530₽,663₽,Тихое,Белое,Полусладкое,Россия,Крым,,Interfin,,,Мускат,Стальной чан,10.00% - 12%,6,8-10,,,,,,
0.75,Poggio al Tesoro,7 880₽,7 880₽,Тихое,Белое,Сухое,Италия,Тоскана,Bolgheri DOC,Poggio al Tesoro,DOC/DOP,,Верментино,Стальной чан,14%,6,8-10,,,2022,Болгери,,
0.75,,3 578₽,3 578₽,Тихое,Красное,Сухое,Франция,Долина Роны,Cotes du Rhone AOС,Ferraton Pere & Fils,AOC/AOP,,ГренашСира,,14%,6,14-16,,Biodynamic,,Кот дю Рон,,
0.75,,400 568₽,400 568₽,Тихое,Красное,Сухое,Франция,Бордо,Saint-Emilion Grand Cru AOC,Chateau Cheval Blanc,AOC/AOP,,МерлоКаберне франКаберне совиньон,Бочка,14%,6,16-18,,,2009,Сент-Эмильон,,
0.75,,26 387₽,26 387₽,Тихое,Красное,Сухое,Франция,Долина Роны,Cornas AOC,Philippe Pacalet,AOC/AOP,,Сира,Бочка,13.5%,12,14-16,,,2019,,,
0.187,Luis Felipe Edwards,274₽,343₽,Тихое,Красное,Сухое,Чили,Центральная долина,,Luis Felipe Edwards,,,Каберне совиньон,Бочка,13.5%,6,16-18,,,,Кольчагуа,,
0.7,Olymp Winery,470₽,470₽,,Красное,Сухое,Россия,Краснодарский край,,Olymp Winery,,,Каберне совиньон,,10% - 12%,6,16-18,,,,,,
0.75,GWS,1 194₽,1 493₽,Тихое,Красное,Полусладкое,Грузия,Кахетия,Киндзмараули ЗГУ,GWS,ЗГУ,,Саперави,Бочка,11%,6,14-16,,,,,,
0.75,Famiglia Marrone,4 178₽,5 222₽,Тихое,Красное,Сухое,Италия,Пьемонт,Barbaresco DOCG,Famiglia Marrone,DOCG,,Неббиоло,Бочка,14.5%,6,16-18,,,,Барбареско,,
0.75,Askaneli,4 128₽,4 128₽,Тихое,Красное,Сухое,Грузия,Квемо-Картли,,Askaneli,,,Саперави,Квеври,13%,6,10-12,,,2016,,,
0.75,,825₽,1 179₽,Тихое,Белое,Полусладкое,Франция,,,Les Chais de Saint Andre,,,Белые сорта винограда,,11%,6,8-10,,,2022,,,
0.75,Fanagoria,594₽,742₽,Тихое,Белое,Сухое,Россия,Краснодарский край,Кубань. Таманский полуостров ЗГУ,Fanagoria,ЗГУ,Автохон,Ркацители,Стальной чан,,6,8-10,,,,,,
0.75,Agricoltori del Chianti Geografico,1 256₽,1 256₽,Тихое,Красное,Сухое,Италия,,,Agricoltori del Chianti Geografico,,Pavo Nero,ПримитивоНеро д'аволаМонтепульчаноМерло,Стальной чан,12.5%,6,16-18,,,,,,
0.75,,202 964₽,202 964₽,Тихое,Красное,Сухое,Франция,Бордо,Margaux AOC,Chateau Margaux,AOC/AOP,Chateau Margaux,Каберне совиньонМерлоКаберне франПти вердо,Бочка,13%,6,16-18,,Organic,2011,Марго,,
0.75,,38 954₽,38 954₽,Тихое,Белое,Сухое,Франция,Бордо,Pessac-Léognan AOC,Chateau Pape Clement,AOC/AOP,Chateau Pape Clement,СемильонСовиньон бланСовиньон гриМюскадель,Бочка,14%,6,10-12,,,2014,Пессак-Леоньян,,
0.75,Waterkloof,1 222₽,1 528₽,Тихое,Белое,Сухое,ЮАР,Западный Кейп,Coastal Region WO,Waterkloof,WO,False Bay,Шенен блан,Стальной чан,14%,6,8-10,,,,Коустал Риджн,,
0.75,Шумринка,1 290₽,1 290₽,Тихое,Красное,Сухое,Россия,Краснодарский край,Кубань. Анапа ЗГУ,Шумринка,ЗГУ,,СаперавиСира,Бочка,13%,6,16-18,,,,Кубань,,
0.75,Fanagoria,594₽,742₽,Тихое,Красное,Сухое,Россия,Краснодарский край,Кубань. Таманский полуостров ЗГУ,Fanagoria,ЗГУ,Автохон,Саперави,Стальной чан,13%,7,16-18,,,,Кубань,,
0.75,Cantine Leonardo da Vinci,1 562₽,1 952₽,Тихое,Белое,Сухое,Италия,Тоскана,Toscana IGT,Cantine Leonardo da Vinci,IGT/IGP,Cantine Leonardo Da Vinci,Верментино,Стальной чан,12.5%,6,10-12,,,,,,
0.75,GWS,7 372₽,9 215₽,Тихое,Белое,Сухое,Грузия,Кахетия,,GWS,,,РкацителиМцванеКиси,Бочка,13%,6,10-12,,,2014,,,
0.75,Waterkloof,1 904₽,2 380₽,Тихое,Красное,Сухое,ЮАР,Западный Кейп,Stellenbosch WO,Waterkloof,WO,,МерлоПти вердоСира,Бочка,,,16-18,,,,Коустал Риджн,,
0.75,689 Cellars,4 733₽,5 916₽,Тихое,Красное,Полусухое,США,Калифорния,California,689 Cellars,,,ГренашСираПти сираМерло,Бочка,14.5%,12,16-18,,,,,,
1.5,Domaine Roy,35 521₽,35 521₽,Тихое,Белое,Сухое,Франция,Бургундия,Chablis Grand Cru AOС,Domaine Roy,AOC/AOP,,Шардоне,Стальной чан,13%,6,10-12,,,2017,Шабли,,
0.75,Grandes Vinos y Vinedos,1 042₽,1 302₽,Тихое,Красное,Сухое,Испания,Арагон,Carinena DO,Grandes Vinos y Vinedos,DO,El Circo,Гарнача,Стальной чан,13.5%,6,16-18,,,,,,
0.75,San Salvatore,2 856₽,3 570₽,Тихое,Красное,Сухое,Италия,Кампанья,Paestum IGT,San Salvatore,IGT/IGP,Paestum,Альянико,Стальной чан,14%,6,16-18,,,,,,
0.75,Askaneli,820₽,1 172₽,Тихое,Белое,Сухое,Грузия,Кахетия,,Askaneli,,,Ркацители,Квеври,13%,6,10-12,,,2022,,,
0.75,San Polo,5 273₽,5 273₽,Тихое,Красное,Полусухое,Италия,Тоскана,Toscana IGT,San Polo,IGT/IGP,,СанджовезеМерлоКанайоло,Бочка,13.5%,6,16-18,,,2019,,,
0.75,Bodega la Rural,1 114₽,1 392₽,Тихое,Розовое,Полусухое,Аргентина,Мендоса,Mendoza,Bodega la Rural,,La RuralTorneo,Мальбек,Стальной чан,12.5%,6,8-10,,,,,,
0.75,,400₽,727₽,Тихое,Красное,Сухое,Россия,Краснодарский край,Южный берег Тамани ЗНМП,Кубань-Вино,ЗНМП,,Мерло,Бочка,12.5%,,16-18,,,2019,,,
0.75,,330 634₽,330 634₽,Тихое,Красное,Сухое,Франция,Бордо,Pauillac AOC,Chateau Mouton Rothschild,AOC/AOP,,Каберне совиньонМерло,Бочка,13.5%,6,16-18,,,2010,Пойяк,,
0.75,Andreas Oster Weinkellerei,1 991₽,1 991₽,Тихое,Красное,Сухое,Германия,Райнхессен,Rheinhessen QbA,Andreas Oster Weinkellerei,,,Пино нуар,Бочка,12%,6,14-16,,,2022,,,
0.75,,2 919₽,2 919₽,Тихое,Красное,Полусухое,Италия,Апулия,Puglia IGT,Botter,IGT/IGP,,ЛамбрускоМонтепульчаноНегроамароМерлоНеро ди трояСанджовезе,,14.5%,6,18-20,,,2021,,,
0.75,Donnafugata,2 990₽,2 990₽,Тихое,Белое,Сухое,Италия,Сицилия,Sicilia DOC,Donnafugata,DOC/DOP,,Катарратто,Стальной чан,,6,8-10,,,,,,
0.75,Усадьба Маркотх,2 990₽,2 990₽,Тихое,Красное,Сухое,Россия,Краснодарский край,Кубань. Геленджик ЗГУ,Усадьба Маркотх,ЗГУ,,Мерло,Бочка,13%,6,16-18,,,,Кубань,,
0.75,Olymp Winery,580₽,580₽,Тихое,Красное,Полусладкое,Россия,Краснодарский край,,Olymp Winery,,,МолдоваКаберне совиньонМерло,,10% - 12%,12,16-18,,,,,,
0.75,Alma Valley,1 228₽,1 535₽,Тихое,Красное,Сухое,Россия,Крым,Крым ЗГУ,Alma Valley,,Alma Valley,Пино нуар,Бочка,14%,6,16-18,,,,,,
0.75,Fanagoria,1 977₽,2 471₽,Тихое,Красное,Сухое,Россия,Краснодарский край,Сенной ЗНМП,Fanagoria,ЗНМП,,КрасностопРубиновый магарачаСаперави,Бочка,13.5%,6,16-18,,,,,,
0.75,Beringer,4 213₽,4 213₽,Тихое,Красное,Полусухое,США,Калифорния,California,Beringer,,Beringer,Каберне совиньон,Стальной чан,13.5%,6,16-18,,,,,,
0.75,Conde de Hervias,5 958₽,7 447₽,Тихое,Красное,Сухое,Испания,Риоха,Rioja DOC,Conde de Hervias,DOC/DOP,Conde de HerviasTorre,Темпранильо,Бочка,14%,6,16-18,,,,,,
0.75,,2 856₽,2 856₽,Тихое,Белое,Сухое,Австрия,Бургенланд,Burgenland,Norbert Schmeltzer,,,Грюнер вельтлинер,Стальной чан,12%,6,8-10,Sustainable,,2023,,,
0.187,Olymp Winery,262₽,262₽,Тихое,Красное,Сухое,Россия,Краснодарский край,Кубань ЗГУ,Olymp Winery,ЗГУ,,Мерло,Стальной чан,10% - 12%,6,16-18,,,,Кубань,,
0.75,Caruso & Minini,7 254₽,9 067₽,Тихое,Красное,Сухое,Италия,Сицилия,Terre Siciliane IGT,Caruso & Minini,IGT/IGP,Caruso & MininiNino,Нерелло маскалезеПерриконеНеро д'аволаФраппато,Бочка,15%,6,16-18,,,,,,
0.75,Chateau Pichon Bellevue,2 019₽,2 019₽,Тихое,Белое,Сухое,Франция,Бордо,Bordeaux AOC,Chateau Pichon Bellevue,AOC/AOP,,СемильонСовиньон блан,Стальной чан,12.5%,6,10-12,,,2021,,,
0.75,,19 415₽,19 415₽,Тихое,Красное,Сухое,Италия,Пьемонт,Barolo DOCG,Marchesi di Barolo,DOCG,,Неббиоло,Бочка,14%,6,16-18,,,2019,Бароло,,
0.75,Dino Illuminati,2 140₽,2 140₽,Тихое,Красное,Сухое,Италия,Абруццо,Montepulciano d'Abruzzo DOC,Dino Illuminati,DOC/DOP,Riparosso,Монтепульчано,Бочка,,6,16-18,,,,,,
0.75,Olymp Winery,459₽,459₽,,Белое,Сухое,Россия,Краснодарский край,,Olymp Winery,,,Ркацители,,11% - 13%,6,10-12,,,,,,
0.75,Akilla,2 570₽,3 213₽,Тихое,Белое,Сухое,Испания,Андалусия,,Akilla,,AkiliaTosca Cerrada,Паломино,Стальной чан,12.5%,,8-10,,,,,,
0.75,,4 016₽,4 016₽,Тихое,Розовое,Сухое,Франция,Прованс,Cotes de Provence AOС,Provence Wine Maker,AOC/AOP,,ГренашСираСенсоВерментино,Стальной чан,13%,6,10-12,,,,Кот де Прованс,,
0.75,Costador,3 522₽,4 403₽,Тихое,Белое,Сухое,Испания,Каталония,,Costador,,CostadorMetamorphika,Сумоль блан,Амфора,11%,6,8-10,,,,,,
0.75,,1 350₽,1 350₽,Тихое,Белое,Полусухое,Австралия,Юго-Восточная Австралия,,Hardy’s,,,Совиньон блан,,12%,6,10-12,,,2022,,,
0.75,,455₽,455₽,Тихое,Красное,Полусладкое,Грузия,,,GVMT Group,,,Саперави,,10% - 12%,6,14-16,,,2020,,,
0.75,Chateau Pinot,580₽,725₽,Тихое,Розовое,Сухое,Россия,Краснодарский край,Кубань. Новороссийск ЗГУ,Chateau Pinot,ЗГУ,Chateau PinotГравитация,Пино нуарПино гри,Стальной чан,11.5% - 12.5%,6,8-10,,,,,,
0.75,Inglenook,26 128₽,26 128₽,Тихое,Красное,Сухое,США,Калифорния,Rutherford AVA,Inglenook,AVA,,Каберне совиньонКаберне фран,Бочка,14.2%,6,16-18,,,2019,Напа,,
0.75,Franz Keller,2 094₽,2 618₽,Тихое,Белое,Сухое,Германия,Баден,,Franz Keller,,,Пино гри,Стальной чан,13.5%,,8-10,,,,,,
0.75,Bodegas Naia,1 190₽,1 488₽,Тихое,Белое,Сухое,Испания,Кастилия и Леон,Rueda DO,Bodegas Naia,DO,,ВердехоСовиньон блан,Стальной чан,13.00% - 13.5%,6,8-10,,,,Руэда,,
0.75,Chateau Pinot,1 624₽,2 030₽,Тихое,Красное,Сухое,Россия,Краснодарский край,Кубань. Новороссийск ЗГУ,Chateau Pinot,ЗГУ,Chateau PinotДикари,Каберне совиньон,Бочка,14%,6,16-18,,,,,,
0.75,Alma Valley,679₽,849₽,Тихое,Белое,Сладкое,Россия,Крым,Крым ЗГУ,Alma Valley,ЗГУ,Alma ValleyAutumn Wine,Совиньон бланТраминер,Стальной чан,,6,8-10,,,,,,
0.75,Venica & Venica,5 906₽,5 906₽,Тихое,Красное,Сухое,Италия,Фриули-Венеция-Джулия,Collio DOC,Venica & Venica,DOC/DOP,,Каберне фран,Бочка,13.5%,6,16-18,,,2021,Коллио,,
0.75,Enrico Serafino,5 617₽,7 021₽,Тихое,Красное,Сухое,Италия,Пьемонт,Barbaresco DOCG,Enrico Serafino,DOCG,Barbaresco,Неббиоло,Бочка,,6,16-18,,,,Барбареско,,
0.75,Casca Wines,1 844₽,1 844₽,Тихое,Красное,Сухое,Португалия,Лиссабон,Lisboa IGP,Casca Wines,IGT/IGP,,СираКаштелауАрагонеш,Бочка,13%,6,16-18,,,2020,,,
0.75,,2 092₽,2 092₽,Тихое,Красное,Сухое,Армения,Араратская долина,,Tierras de Armenia,,Karas,Арени,,13%,6,16-18,,,2022,,,
0.75,Alma Valley,1 133₽,1 416₽,Тихое,Белое,Сухое,Россия,Крым,Крым ЗГУ,Alma Valley,ЗГУ,Alma Valley,Кокур,Стальной чан,14%,6,10-12,,,,,,
0.75,Cascina degli Ulivi,4 379₽,5 474₽,Тихое,Красное,Сухое,Италия,Пьемонт,,Cascina degli Ulivi,,Cascina degli UliviNibio,Дольчетто,Бочка,,6,16-18,,Biodynamic,,,,
0.75,,3 831₽,3 831₽,Тихое,Белое,Сухое,Франция,Долина Луары,Muscadet Sevre et Maine AOC,Domaine de la Pepiere,AOC/AOP,,Мюскаде (мелон де бургонь),Стальной чан,12%,,8-10,,Biodynamic,2022,Пеи-Нанте,,
0.75,Alma Valley,657₽,821₽,,Белое,Сухое,Россия,Крым,Крым ЗГУ,Alma Valley,ЗГУ,Alma Valley,Совиньон бланШардонеПино бланТраминер,,12.5%,6,10-12,,,,,,
0.75,,2 017₽,2 017₽,Тихое,Красное,Сухое,Аргентина,Мендоса,Mendoza,Bodega Navarro Correas,,,Мальбек,Бочка,13%,6,16-18,,,2023,,,
