Объем,Бренд,Цена со скидкой,Цена,Тип вина,Цвет,Сахар,Страна производителя,Регион,Аппелласьон,Производитель,Категория,Бренд / Серия,Сорт винограда,Выдержка в ёмкости,Содержание алкоголя,Количество в упаковке,Температура подачи,Friendly,BiO,Винтаж,Субрегион,Выдержка,Подарочная упаковка0.75,Chateau Pinot,580₽,725₽,Тихое,Красное,Сухое,Россия,Краснодарский край,Кубань. Новороссийск ЗГУ,Chateau Pinot,ЗГУ,Chateau PinotГравитация,Пино нуарСаперави,Стальной чан,13%,6,16-18
1,Felix Solis,884₽,884₽,,Белое,Сухое,Испания,,,Felix Solis,,,Айрен,,11%,12,8-10
0.75,Weinkellerei Hechtsheim,1 440₽,1 440₽,Тихое,Белое,Полусладкое,Германия,Райнхессен,,Weinkellerei Hechtsheim,,Hans Baer,Гевюрцтраминер,Стальной чан,,6,8-10
0.75,Olymp Winery,539₽,539₽,,Красное,Сухое,Россия,,,Olymp Winery,,,Бастардо,,10% - 12%,6,16-18
0.75,Golan Heights,6 414₽,6 414₽,Тихое,Белое,Сухое,Израиль,Галилея,,Golan Heights,,,Шардоне,Бочка,14.5%,6,10-12
0.75,Delicato,2 311₽,2 889₽,Тихое,Красное,Сухое,США,Калифорния,,Delicato,,,Зинфандель,Бочка,14.5%,6,16-18
0.75,Inama,3 427₽,4 284₽,Тихое,Красное,Сухое,Италия,Венето,Veneto IGT,Inama,IGT/IGP,,КарменерМерло,Бочка,,6,16-18
0.25,Off-Piste Wines,320₽,400₽,Тихое,Белое,Сухое,ЮАР,Западный Кейп,,Off-Piste Wines,,,Совиньон блан,Стальной чан,12.5%,12,10-12
0.75,Jermann,4 909₽,4 909₽,Тихое,Белое,Сухое,Италия,Фриули-Венеция-Джулия,Venezia Giulia IGT,Jermann,IGT/IGP,,Совиньон блан,Стальной чан,13%,6,8-10
0.75,Bodegas del Saz,1 121₽,1 401₽,Тихое,Красное,Сухое,Испания,Кастилия-Ла-Манча,La Mancha DO,Bodegas del Saz,DO,,Темпранильо,Бочка,13.5%,6,16-18
0.187,J. P. Chenet,342₽,427₽,Тихое,Розовое,Полусухое,Франция,Лангедок-Руссийон,Pays d'Oc IGP,J. P. Chenet,IGT/IGP,,ГренашСенсо,Стальной чан,12.5%,6,10-12
0.75,,816₽,1 020₽,Тихое,Белое,Сухое,Россия,Ростовская область,Долина Дона ЗГУ,Винодельня Ведерниковъ,ЗГУ,Ведерниковъ,Сибирьковый,Стальной чан,12%,6,10-12
0.75,Массандра,566₽,707₽,Креплёное,Белое,Сухое,Россия,Крым,Крым ЗГУ,Массандра,ЗГУ,МассандраОреанда,АлиготеАльбильоКокур,Бочка,16%,6,8-10
0.75,Массандра,450₽,562₽,Креплёное,Розовое,Сладкое,Россия,Крым,Крым ЗГУ,Массандра,ЗГУ,Массандра,Белые сорта виноградаКрасные сорта винограда,Стальной чан,17%,6,8-10
0.75,Angelo Rocca е Figli,1 680₽,2 100₽,Тихое,Красное,Сухое,Италия,Апулия,Puglia IGT,Angelo Rocca e Figli,IGT/IGP,BarriconeAngelo Rocca E Figli,Примитиво,Бочка,13.5%,6,16-18
0.75,Cono Sur,702₽,877₽,Тихое,Розовое,Полусухое,Чили,Центральная долина,Central Valley DO,Cono Sur,DO,Cono SurTocornal,Каберне совиньон,Стальной чан,12.5%,6,10-12
0.75,Benanti,2 951₽,3 689₽,Тихое,Белое,Сухое,Италия,Сицилия,Etna DOC,Benanti,DOC/DOP,Benanti,Карриканте,Стальной чан,12%,6,8-10
0.75,Montes,3 397₽,3 397₽,Тихое,Белое,Сухое,Чили,Аконкагуа,Zapallar DO,Montes,DO,,Совиньон блан,Стальной чан,13.5%,6,10-12
0.75,Benanti,2 380₽,2 975₽,Тихое,Красное,Сухое,Италия,Сицилия,Etna DOC,Benanti,DOC/DOP,Benanti,Нерелло маскалезеНерелло капуччо,Стальной чан,13.5%,6,16-18
0.75,Вина Арпачина,1 836₽,2 295₽,Тихое,Белое,Сухое,Россия,Ростовская область,Долина Дона ЗГУ,Вина Арпачина,ЗГУ,NataliВина Арпачина,СибирьковыйПухляковскийЦимлянский черныйКумшацкий,Бочка,11.5%,6,8-10
0.75,Karmen,1 436₽,1 436₽,Тихое,Красное,Сухое,Чили,Центральная долина,Uco Valley,Karmen,,,КарменерКариньян,Бочка,13%,6,16-18
0.75,,252₽,315₽,Тихое,Белое,Сухое,Россия,Краснодарский край,,Долина,,,Рислинг,Стальной чан,10.00% - 12%,6,10-12
0.75,Producta Vignobles,2 400₽,3 000₽,Тихое,Красное,Сухое,Франция,Бордо,Bordeaux Superieur AOС,Producta Vignobles,AOC/AOP,Chateau La Maurine,МерлоКаберне совиньонКаберне фран,Бочка,12.5%,6,16-18
0.75,Массандра,458₽,573₽,Креплёное,Белое,Сладкое,Россия,Крым,Крым ЗГУ,Массандра,ЗГУ,Массандра,Кокур,Бочка,16%,6,8-10
0.7,Olymp Winery,470₽,470₽,Тихое,Красное,Полусладкое,Россия,Краснодарский край,,Olymp Winery,,,МолдоваСаперавиМерло,,10% - 12%,6,14-16
0.75,,996₽,1 245₽,Тихое,Белое,Сухое,Россия,Ростовская область,Долина Дона ЗГУ,Винодельня Ведерниковъ,ЗГУ,Ведерниковъ,Ркацители,Бочка,13%,6,10-12
0.75,Chateau de Talu,2 054₽,2 568₽,Тихое,Красное,Сухое,Россия,Краснодарский край,Кубань. Геленджик ЗГУ,Chateau de Talu,ЗГУ,Chateau de Talu,Шираз,Бочка,15%,6,16-18
0.75,Массандра,734₽,917₽,Креплёное,Белое,Сладкое,Россия,Крым,Крым ЗГУ,Массандра,ЗГУ,Массандра,СерсиальАльбильоВердельо,Бочка,19.5%,6,8-10
0.75,Vidigal Wines,1 933₽,2 416₽,Тихое,Белое,Сухое,Португалия,Лиссабон,Lisboa IGP,Vidigal Wines,IGT/IGP,,Шардоне,Бочка,14.5%,6,10-12
0.75,Domaine Maratray-Dubreuil,9 390₽,11 738₽,Тихое,Красное,Сухое,Франция,Бургундия,Aloxe Corton AOC,Domaine Maratray-Dubreuil,AOC/AOP,,Пино нуар,Бочка,13%,6,16-18
0.75,Antigal,828₽,1 035₽,Тихое,Красное,Сухое,Аргентина,Мендоса,Mendoza,Antigal,,AntigalRed Car,Каберне совиньон,Стальной чан,13% - 14.1%,12,16-18
0.75,,2 193₽,2 193₽,Тихое,Красное,Сухое,Россия,Крым,,Сатера,,Esse,Сира,Бочка,13%,6,14-16
0.75,Tinazzi,1 352₽,1 690₽,Тихое,Белое,Сухое,Италия,Венето,Lugana DOC,Tinazzi,DOC/DOP,,Треббьяно ди лугана,Бочка,12.5%,6,10-12
0.75,Tinazzi,1 352₽,1 690₽,Тихое,Белое,Сухое,Италия,Венето,Lugana DOC,Tinazzi,DOC/DOP,,Треббьяно ди лугана,Бочка,12.5%,6,10-12
0.75,Luis Felipe Edwards,653₽,816₽,Тихое,Белое,Сухое,Чили,Центральная долина,Central Valley DO,Luis Felipe Edwards,DO,,Пино гриджо,Стальной чан,12.5%,6,10-12
0.75,Tinazzi,1 352₽,1 690₽,Тихое,Белое,Сухое,Италия,Венето,Lugana DOC,Tinazzi,DOC/DOP,,Треббьяно ди лугана,Бочка,12.5%,6,10-12,,,,
0.75,Luis Felipe Edwards,653₽,816₽,Тихое,Белое,Сухое,Чили,Центральная долина,Central Valley DO,Luis Felipe Edwards,DO,,Пино гриджо,Стальной чан,12.5%,6,10-12,,,,
0.75,,5 242₽,5 242₽,Тихое,Красное,Сухое,Новая Зеландия,Мальборо,Marlborough,Rapaura Springs,,Rapaura Springs Reserve,Пино нуар,,13%,6,16-18,,,2021,
0.75,Bellene,14 823₽,14 823₽,Тихое,Белое,Сухое,Франция,Бургундия,Saint-Aubin 1er Cru AOC,Bellene,AOC/AOP,,Шардоне,Бочка,13.5%,12,10-12,Sustainable,Biodynamic,2020,Сент-Обен
0.75,Tiflisi Marani,694₽,694₽,Тихое,Красное,Сухое,Грузия,Кахетия,,Tiflisi Marani,,,Саперави,Бочка,12.5% - 13.5%,6,14-16,,,2019,
0.75,,1 757₽,1 757₽,Тихое,Белое,Полусухое,Португалия,Минью,Vinho Verde DOC,Casa da Fonte Pequena,,Fonte,ЛоурейруТрежадура,,10%,6,8-10,,,2022,
0.75,Marziano Abbona,2 190₽,2 737₽,Тихое,Белое,Сухое,Италия,Пьемонт,Roero Arneis DOCG,Marziano Abbona,DOCG,,Арнеис,Стальной чан,,6,8-10,,,,
0.75,Gaja,55 277₽,55 277₽,Тихое,Белое,Сухое,Италия,Пьемонт,Langhe DOC,Gaja,DOC/DOP,Gaia & Rey,Шардоне,Бочка,14%,,10-12,,,,Ланге
