Объем,Бренд,Цена со скидкой,Цена,Тип вина,Цвет,Сахар,Страна производителя,Регион,Аппелласьон,Производитель,Категория,Сорт винограда,Выдержка в ёмкости,Содержание алкоголя,Температура подачи,Friendly,BiO,Винтаж,Подарочная упаковка
0.75,unknown,996.0,1245.0,Тихое,Белое,Сухое,Россия,Ростовская область,Долина Дона ЗГУ,Винодельня Ведерниковъ,ЗГУ,Ркацители,Бочка,13.0,11.0,0,0,unknown,0
0.75,Chateau de Talu,2054.0,2568.0,Тихое,Красное,Сухое,Россия,Краснодарский край,Кубань. Геленджик ЗГУ,Chateau de Talu,ЗГУ,Шираз,Бочка,15.0,17.0,0,0,unknown,0
0.75,Массандра,734.0,917.0,Креплёное,Белое,Сладкое,Россия,Крым,Крым ЗГУ,Массандра,ЗГУ,СерсиальАльбильоВердельо,Бочка,19.5,9.0,0,0,unknown,0
0.75,Vidigal Wines,1933.0,2416.0,Тихое,Белое,Сухое,Португалия,Лиссабон,Lisboa IGP,Vidigal Wines,IGT/IGP,Шардоне,Бочка,14.5,11.0,0,0,unknown,0
0.75,Domaine Maratray-Dubreuil,9390.0,11738.0,Тихое,Красное,Сухое,Франция,Бургундия,Aloxe Corton AOC,Domaine Maratray-Dubreuil,AOC/AOP,Пино нуар,Бочка,13.0,17.0,0,0,unknown,0
0.75,Antigal,828.0,1035.0,Тихое,Красное,Сухое,Аргентина,Мендоса,Mendoza,Antigal,unknown,Каберне совиньон,Стальной чан,13.55,17.0,0,0,unknown,0
0.75,unknown,2193.0,2193.0,Тихое,Красное,Сухое,Россия,Крым,unknown,Сатера,unknown,Сира,Бочка,13.0,15.0,0,0,unknown,0
0.75,Tinazzi,1352.0,1690.0,Тихое,Белое,Сухое,Италия,Венето,Lugana DOC,Tinazzi,DOC/DOP,Треббьяно ди лугана,Бочка,12.5,11.0,0,0,unknown,0
0.75,Tinazzi,1352.0,1690.0,Тихое,Белое,Сухое,Италия,Венето,Lugana DOC,Tinazzi,DOC/DOP,Треббьяно ди лугана,Бочка,12.5,11.0,0,0,unknown,0
0.75,Luis Felipe Edwards,653.0,816.0,Тихое,Белое,Сухое,Чили,Центральная долина,Central Valley DO,Luis Felipe Edwards,DO,Пино гриджо,Стальной чан,12.5,11.0,0,0,unknown,0
0.75,Tinazzi,1352.0,1690.0,Тихое,Белое,Сухое,Италия,Венето,Lugana DOC,Tinazzi,DOC/DOP,Треббьяно ди лугана,Бочка,12.5,11.0,0,0,unknown,0
0.75,Luis Felipe Edwards,653.0,816.0,Тихое,Белое,Сухое,Чили,Центральная долина,Central Valley DO,Luis Felipe Edwards,DO,Пино гриджо,Стальной чан,12.5,11.0,0,0,unknown,0
0.75,unknown,5242.0,5242.0,Тихое,Красное,Сухое,Новая Зеландия,Мальборо,Marlborough,Rapaura Springs,unknown,Пино нуар,unknown,13.0,17.0,0,0,2021,0
0.75,Bellene,14823.0,14823.0,Тихое,Белое,Сухое,Франция,Бургундия,Saint-Aubin 1er Cru AOC,Bellene,AOC/AOP,Шардоне,Бочка,13.5,11.0,1,1,2020,0
0.75,Tiflisi Marani,694.0,694.0,Тихое,Красное,Сухое,Грузия,Кахетия,unknown,Tiflisi Marani,unknown,Саперави,Бочка,13.0,15.0,0,0,2019,0
0.75,unknown,1757.0,1757.0,Тихое,Белое,Полусухое,Португалия,Минью,Vinho Verde DOC,Casa da Fonte Pequena,unknown,ЛоурейруТрежадура,unknown,10.0,9.0,0,0,2022,0
0.75,Marziano Abbona,2190.0,2737.0,Тихое,Белое,Сухое,Италия,Пьемонт,Roero Arneis DOCG,Marziano Abbona,DOCG,Арнеис,Стальной чан,12.914653243847875,9.0,0,0,unknown,0
0.75,Gaja,55277.0,55277.0,Тихое,Белое,Сухое,Италия,Пьемонт,Langhe DOC,Gaja,DOC/DOP,Шардоне,Бочка,14.0,11.0,0,0,unknown,0
0.75,Clos Triguedina,3190.0,3190.0,Тихое,Красное,Сухое,Франция,Юго-Запад,Cahors AOС,Clos Triguedina,AOC/AOP,Мальбек,Бочка,13.0,17.0,0,0,unknown,0
0.75,Weingut Heninger,2000.0,2000.0,Тихое,Красное,Сухое,Австрия,Нижняя Австрия,Niederosterreich,Weingut Heninger,unknown,Цвайгельт,Стальной чан,13.0,15.0,0,0,unknown,0
0.75,Olymp Winery,285.0,285.0,Тихое,Красное,Полусладкое,Россия,unknown,unknown,Olymp Winery,unknown,Каберне совиньонМерлоДойна,unknown,11.0,15.0,0,0,unknown,0
1.5,Bellene,20814.0,20814.0,Тихое,Белое,Сухое,Франция,Бургундия,Savigny-les-Beaune AOC,Bellene,AOC/AOP,Шардоне,Бочка,13.5,11.0,1,1,2020,0
0.75,Массандра,546.0,683.0,Тихое,Красное,Сухое,Россия,Крым,Крым ЗГУ,Массандра,ЗГУ,Сира,Бочка,13.0,17.0,0,0,unknown,0
0.75,Bodegas Muga,18820.0,18820.0,Тихое,Красное,Сухое,Испания,Риоха,Rioja DOCa,Bodegas Muga,DOCa,ТемпранильоГрасианоМасуэло,Бочка,14.5,17.0,0,0,unknown,0
0.75,Olymp Winery,454.0,454.0,Тихое,Белое,Полусладкое,Россия,Краснодарский край,unknown,Olymp Winery,unknown,Белые сорта винограда,unknown,11.0,11.0,0,0,unknown,0
0.75,Tommasi,3949.0,3949.0,Тихое,Белое,Сухое,Италия,Ломбардия,Lugana DOC,Tommasi,DOC/DOP,Турбиана,Стальной чан,12.5,9.0,0,0,2022,0
0.75,Santa Monica,1275.0,1821.0,Тихое,Белое,Сухое,США,Калифорния,unknown,Santa Monica,unknown,Шардоне,Бочка,13.0,11.0,0,0,unknown,0
0.75,Domaine Pierre Luneau-Papin,4550.0,4550.0,Тихое,Белое,Сухое,Франция,Долина Луары,Gros Plant du Pays Nantais AOС,Domaine Pierre Luneau-Papin,AOC/AOP,Фоль бланш,Бочка,11.0,11.0,0,1,2022,0
0.75,Weingut Von Winning,3332.0,4165.0,Тихое,Белое,Полусухое,Германия,Пфальц,Pfalz QbA,Weingut Von Winning,QbA,Рислинг,Стальной чан,12.0,9.0,0,0,unknown,0
0.75,Interfin,797.0,996.0,Тихое,Красное,Полусладкое,Россия,Крым,unknown,Interfin,unknown,СаперавиБастардоКаберне совиньон,Стальной чан,11.0,15.0,0,0,unknown,0
0.75,Domini Castellare di Castellina,2129.0,2661.0,Тихое,Красное,Сухое,Италия,Тоскана,Maremma Toscana DOC,Domini Castellare di Castellina,DOC/DOP,СанджовезеМерлоКаберне совиньон,Цементная емкость,14.5,17.0,0,0,unknown,0
0.75,Luis Felipe Edwards,1002.0,1253.0,Тихое,Красное,Сухое,Чили,Центральная долина,Colchagua Valley DO,Luis Felipe Edwards,DO,МальбекШираз,Бочка,14.0,17.0,0,0,unknown,0
0.75,Weinkellerei Hechtsheim,1490.0,1490.0,Тихое,Красное,Полусухое,Германия,Райнхессен,unknown,Weinkellerei Hechtsheim,unknown,Пино нуар,Стальной чан,12.914653243847875,17.0,0,0,unknown,0
0.75,Alma Valley,1228.0,1535.0,Тихое,Красное,Сухое,Россия,Крым,Крым ЗГУ,Alma Valley,ЗГУ,Каберне совиньон,Бочка,12.914653243847875,17.0,0,0,unknown,0
0.75,Lake Road,1603.0,2290.0,Тихое,Белое,Сухое,Новая Зеландия,Мальборо,Marlborough,Lake Road,unknown,Рислинг,Стальной чан,12.0,11.0,0,0,unknown,0
